,Distance from site of stimulation to wrist (mm),Ulnar Nerve Conduction Velocity (m.s-1),Where are you from?   North I/South I/Other,Do you exercise? (Never/Rarely/ Occasionally /Frequently),Index finger length (mm),Height (mm)
P1,330,60,Nor,O,95,1870
P2,250,50,O,O,70,1600
P3,360,80,Nor,F,75,1610
P4,220,39.8,O,N,65,1550
P5,320,49.1,Nor,R,90,1810
P6,240,51,S,F,76,1590
P7,310,77.5,S,F,90,1760
P8,310,44.2,S,F,70,1650
P9,300,74,Nor,F,90,1690
P10,264,77.2,S,O,60,1680
P11,,,,,,
P12,260,60.5,S,O,70,1740
P13,320,84.8,Nor,O,80,1730
P14,250,72,S,O,74,1710
P15,280,64.4,S,F,80,1700
P16,,,,,,
P17,340,72.9,S,F,100,1850
P18,230,83.6,Nor,o,80,1550
P19,,,,,,
P20,,,,,,
E1,,,,,,
E2,270,106.1,O,O,88,1770
