,Distance from site of stimulation to wrist (mm),Ulnar Nerve Conduction Velocity (m.s-1),Where are you from?   North I/South I/Other,Do you exercise? (Never/Rarely/ Occasionally /Frequently),Index finger length (mm),Height (mm)
P1,,,,,,
P2,275,57.3,O,F,70,1731
P3,270,77.1,South Island,O,75,1760
P4,280,100.8,o,o,75,1561
P5,305,61,South Island,F,84,1900
P6,290,63,0,f,80,1730
P7,340,65.4,South Island,R,85,1670
P8,335,69.2,Northside,O,87,1780
P9,290,69.3,North Island ,F,70,1730
P10,,,,,,
P11,300,46.1,North Island ,R,90,1780
P12,270,70.2,North Island ,O,95,1650
P13,,,,,,
P14,310,53.4,North,O,80,1803
P15,,,,,,
P16,250,82,Other,N,72,1591
P17,,,,,,
P18,,,,,,
P19,,,,,,
P20,,,,,,
E1,,,,,,
E2,,,,,,
