,Distance from site of stimulation to wrist (mm),Ulnar Nerve Conduction Velocity (m.s-1),Where are you from?   North I/South I/Other,Do you exercise? (Never/Rarely/ Occasionally /Frequently),Index finger length (mm),Height (mm),
P1,270,46.6,North I,O,70,1680,
P2,280,62.2,S,O,90,1770,
P3,300,62.2,N,R,80,1860,
P4,260,26.5,North Island,O,73,1660,
P5,240,55.1,other,rarely,65,1600,
P6,305,87.1,North I,F,85,178,250
P7,270,46.6,North I,Occasionally,70,1680,
P8,,56,Other,Occasionally,80,1770,
P9,255,61.5,North I,F,80,1630,
P10,,,,,,,
P11,,,,,,,
P12,300,42.2,OTHER,NEVER,70,1670,
P13,,,,,,,
P14,320,,north,R,85,,
P15,250,126.8,N,Never,63,1510,
P16,,,,,,,
P17,300,62.2,North ,Frequently,80,1780,
P18,236,54.4,South,Occasionally,76,1740,
P19,,,,,,,
P20,,,,,,,
E1,,,,,,,
E2,,,,,,,
,,,,,,,
,230,62.9,South Island,O,75,1620,
